PO_ID     ,PARTNER_GUID_NODE_KEY            ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          ,LIFECYCLE_STATUS,OVERALL_STATUS
300000025,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,"47,582.15","39,985.00","7,597.15",N               ,P             
300000026,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"18,190.34","15,286.00","2,904.34",N               ,P             
300000027,74867AD200E41EDBA5D8B06885AB2052  ,EUR          ,"9,182.04","7,716.00","1,466.04",N               ,P             
300000028,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,"5,806.01","4,879.00",927.01,N               ,P             
300000029,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,"1,626.37","1,366.70",259.67,N               ,P             
300000030,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"2,691.78","2,262.00",429.78,N               ,P             
300000031,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,"4,950.40","4,160.00",790.4,N               ,P             
300000032,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"12,020.19","10,101.00","1,919.19",N               ,P             
300000033,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,"71,973.58","60,482.00","11,491.58",N               ,P             
300000034,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,"8,751.26","7,354.00","1,397.26",N               ,P             
300000035,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,"4,938.50","4,150.00",788.5,N               ,P             
300000036,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,"3,227.24","2,711.97",515.27,N               ,P             
300000037,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,"8,542.94","7,178.94","1,364.00",N               ,P             
300000038,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,"3,485.98","2,929.40",556.58,N               ,P             
300000039,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"6,127.29","5,148.98",978.31,N               ,P             
300000040,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,"13,274.68","11,155.20","2,119.48",N               ,P             
300000041,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,"1,933.73","1,624.98",308.75,N               ,P             
300000042,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"2,153.90","1,810.00",343.9,N               ,P             
300000043,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"5,622.75","4,725.00",897.75,N               ,P             
300000044,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"20,476.33","17,207.00","3,269.33",N               ,P             
300000045,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,"90,278.16","75,864.00","14,414.16",N               ,P             
300000046,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,"12,848.43","10,797.00","2,051.43",N               ,P             
300000047,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"1,067.43",897,170.43,N               ,P             
300000048,74867AD200E41EDBA5D8B06885AEE052  ,EUR          ,"5,257.42","4,418.00",839.42,N               ,P             
300000049,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,"16,756.39","14,081.00","2,675.39",N               ,P             
300000050,74867AD200E41EDBA5D8B06885ABA052  ,EUR          ,"7,349.35","6,175.92","1,173.43",N               ,P             
300000051,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"11,252.64","9,456.00","1,796.64",N               ,P             
300000052,74867AD200E41EDBA5D8B06885B02052  ,EUR          ,"3,140.41","2,639.00",501.41,N               ,P             
300000053,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,"6,251.07","5,253.00",998.07,N               ,P             
300000054,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,"3,944.82","3,314.97",629.85,N               ,P             
300000055,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,"125,635.44","105,576.00","20,059.44",N               ,P             
300000056,74867AD200E41EDBA5D8B06885B00052  ,EUR          ,974.61,819,155.61,N               ,P             
300000057,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,"3,669.96","3,084.00",585.96,N               ,P             
300000058,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"7,677.85","6,451.97","1,225.88",N               ,P             
300000059,74867AD200E41EDBA5D8B06885AB2052  ,EUR          ,"3,453.38","2,902.00",551.38,N               ,P             
300000060,74867AD200E41EDBA5D8B06885ADA052  ,EUR          ,"12,644.94","10,626.00","2,018.94",N               ,P             
300000061,74867AD200E41EDBA5D8B06885AC0052  ,EUR          ,"4,598.16","3,864.00",734.16,N               ,P             
300000062,74867AD200E41EDBA5D8B06885AF4052  ,EUR          ,722.23,606.91,115.32,N               ,P             
300000063,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,"2,354.54","1,978.60",375.94,N               ,P             
300000064,74867AD200E41EDBA5D8B06885ADE052  ,EUR          ,"10,281.60","8,640.00","1,641.60",N               ,P             
300000065,74867AD200E41EDBA5D8B06885AE4052  ,EUR          ,"213,043.32","179,028.00","34,015.32",N               ,P             
300000066,74867AD200E41EDBA5D8B06885AF8052  ,EUR          ,222.41,186.9,35.51,N               ,P             
300000067,74867AD200E41EDBA5D8B06885AFA052  ,EUR          ,808.84,679.7,129.14,N               ,P             
300000068,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,"4,137.63","3,477.00",660.63,N               ,P             
300000069,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"1,995.63","1,677.00",318.63,N               ,P             
300000070,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,"11,320.47","9,513.00","1,807.47",N               ,P             
300000071,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,"12,848.43","10,797.00","2,051.43",N               ,P             
300000072,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,514.08,432,82.08,N               ,P             
300000073,74867AD200E41EDBA5D8B06885ACE052  ,EUR          ,"3,260.60","2,740.00",520.6,N               ,P             
300000074,74867AD200E41EDBA5D8B06885ABA052  ,EUR          ,"6,117.69","5,140.92",976.77,N               ,P             
300000075,74867AD200E41EDBA5D8B06885ACC052  ,EUR          ,"14,307.48","12,023.10","2,284.38",N               ,P             
300000076,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,"3,510.74","2,950.20",560.54,N               ,P             
300000077,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,"8,979.74","7,546.00","1,433.74",N               ,P             
300000078,74867AD200E41EDBA5D8B06885AEA052  ,EUR          ,"5,519.22","4,638.00",881.22,N               ,P             
300000079,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,"14,102.69","11,851.00","2,251.69",N               ,P             
300000080,74867AD200E41EDBA5D8B06885B02052  ,EUR          ,"3,483.13","2,927.00",556.13,N               ,P             
300000081,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,"53,780.86","45,194.00","8,586.86",N               ,P             
300000082,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,"4,872.25","4,094.33",777.92,N               ,P             
300000083,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"8,811.95","7,405.00","1,406.95",N               ,P             
300000084,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"5,033.70","4,230.00",803.7,N               ,P             
300000085,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,"4,031.72","3,388.00",643.72,N               ,P             
300000086,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,"6,282.82","5,279.68","1,003.14",N               ,P             
300000087,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,"12,603.29","10,591.00","2,012.29",N               ,P             
300000088,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,"6,178.48","5,192.00",986.48,N               ,P             
300000089,74867AD200E41EDBA5D8B06885ADA052  ,EUR          ,"7,191.17","6,043.00","1,148.17",N               ,P             
300000090,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,"19,331.55","16,245.00","3,086.55",N               ,P             
300000091,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"3,297.49","2,771.00",526.49,N               ,P             
300000092,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,"1,463.58","1,229.90",233.68,N               ,P             
300000093,74867AD200E41EDBA5D8B06885ABC052  ,EUR          ,"7,892.07","6,631.99","1,260.08",N               ,P             
300000094,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,"5,115.77","4,298.97",816.8,N               ,P             
300000095,74867AD200E41EDBA5D8B06885AF6052  ,EUR          ,521.22,438,83.22,N               ,P             
300000096,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"3,297.49","2,771.00",526.49,N               ,P             
300000097,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,"7,775.46","6,534.00","1,241.46",N               ,P             
300000098,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,"5,234.80","4,398.99",835.81,N               ,P             
300000099,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,"24,302.18","20,422.00","3,880.18",N               ,P             
300000100,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,"5,007.75","4,208.20",799.55,N               ,P             
300000101,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,"3,653.30","3,070.00",583.3,N               ,P             
300000102,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,"4,074.08","3,423.60",650.48,N               ,P             
300000103,74867AD200E41EDBA5D8B06885AEE052  ,EUR          ,"4,696.93","3,947.00",749.93,N               ,P             
300000104,74867AD200E41EDBA5D8B06885ABC052  ,EUR          ,"8,509.64","7,150.96","1,358.68",N               ,P             
300000105,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,"6,436.71","5,409.00","1,027.71",N               ,P             
300000106,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,"2,942.87","2,473.00",469.87,N               ,P             
300000107,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,"8,509.67","7,150.98","1,358.69",N               ,P             
300000108,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,"6,053.53","5,087.00",966.53,N               ,P             
300000109,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"1,113.84",936,177.84,N               ,P             
300000110,74867AD200E41EDBA5D8B06885AF4052  ,EUR          ,660.4,554.95,105.45,N               ,P             
300000111,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,"4,676.70","3,930.00",746.7,N               ,P             
300000112,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,"7,771.81","6,530.93","1,240.88",N               ,P             
300000113,74867AD200E41EDBA5D8B06885AB6052  ,EUR          ,"11,816.17","9,929.55","1,886.62",N               ,P             
300000114,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,"4,523.19","3,801.00",722.19,N               ,P             
300000115,74867AD200E41EDBA5D8B06885AEA052  ,EUR          ,"9,935.31","8,349.00","1,586.31",N               ,P             
300000116,74867AD200E41EDBA5D8B06885AC0052  ,EUR          ,"3,982.93","3,347.00",635.93,N               ,P             
300000117,74867AD200E41EDBA5D8B06885ADE052  ,EUR          ,"3,259.41","2,739.00",520.41,N               ,P             
300000118,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,"4,249.49","3,571.00",678.49,N               ,P             
300000119,74867AD200E41EDBA5D8B06885ADA052  ,EUR          ,"7,539.84","6,336.00","1,203.84",N               ,P             
300000120,74867AD200E41EDBA5D8B06885AC0052  ,EUR          ,"11,506.11","9,669.00","1,837.11",N               ,P             
300000121,74867AD200E41EDBA5D8B06885ADA052  ,EUR          ,"3,752.07","3,153.00",599.07,N               ,P             
300000122,74867AD200E41EDBA5D8B06885ADA052  ,EUR          ,549.78,462,87.78,N               ,P             
300000123,74867AD200E41EDBA5D8B06885AC8052  ,EUR          ,"2,343.94","1,969.70",374.24,N               ,P             
300000124,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"6,298.57","5,292.92","1,005.65",N               ,P             
300000125,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,"3,510.75","2,950.20",560.55,N               ,P             
300000126,74867AD200E41EDBA5D8B06885AD4052  ,EUR          ,"11,738.16","9,864.00","1,874.16",N               ,P             
300000127,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,"13,258.98","11,142.00","2,116.98",N               ,P             
300000128,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"16,561.23","13,917.00","2,644.23",N               ,P             
300000129,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,"3,422.44","2,876.00",546.44,N               ,P             
300000130,74867AD200E41EDBA5D8B06885AEA052  ,EUR          ,"8,745.31","7,349.00","1,396.31",N               ,P             
300000131,74867AD200E41EDBA5D8B06885AB6052  ,EUR          ,"5,961.53","5,009.69",951.84,N               ,P             
300000132,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"31,419.57","26,403.00","5,016.57",N               ,P             
300000133,74867AD200E41EDBA5D8B06885AD4052  ,EUR          ,"7,450.59","6,261.00","1,189.59",N               ,P             
300000134,74867AD200E41EDBA5D8B06885AD4052  ,EUR          ,"3,803.24","3,196.00",607.24,N               ,P             
300000135,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,"7,134.01","5,994.96","1,139.05",N               ,P             
300000136,74867AD200E41EDBA5D8B06885ABC052  ,EUR          ,"8,212.15","6,900.97","1,311.18",N               ,P             
300000137,74867AD200E41EDBA5D8B06885AD8052  ,EUR          ,"3,257.03","2,737.00",520.03,N               ,P             
300000138,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"2,645.37","2,223.00",422.37,N               ,P             
300000139,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,"7,022.19","5,901.00","1,121.19",N               ,P             
300000140,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"7,650.51","6,429.00","1,221.51",N               ,P             
300000141,74867AD200E41EDBA5D8B06885AB6052  ,EUR          ,"3,986.25","3,349.79",636.46,N               ,P             
300000142,74867AD200E41EDBA5D8B06885ACE052  ,EUR          ,"3,778.25","3,175.00",603.25,N               ,P             
300000143,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,"9,599.61","8,066.90","1,532.71",N               ,P             
300000144,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"9,859.15","8,285.00","1,574.15",N               ,P             
300000145,74867AD200E41EDBA5D8B06885AC8052  ,EUR          ,"7,388.11","6,208.50","1,179.61",N               ,P             
300000146,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,819.91,689,130.91,N               ,P             
300000147,74867AD200E41EDBA5D8B06885AC0052  ,EUR          ,"5,922.63","4,977.00",945.63,N               ,P             
300000148,74867AD200E41EDBA5D8B06885AEA052  ,EUR          ,"5,696.53","4,787.00",909.53,N               ,P             
300000149,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"9,157.05","7,695.00","1,462.05",N               ,P             
300000150,74867AD200E41EDBA5D8B06885B02052  ,EUR          ,"4,934.93","4,147.00",787.93,N               ,P             
300000151,74867AD200E41EDBA5D8B06885B02052  ,EUR          ,"4,934.93","4,147.00",787.93,N               ,P             
300000152,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,"2,234.12","1,877.40",356.72,N               ,P             
300000153,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,"4,928.98","4,142.00",786.98,N               ,P             
300000154,74867AD200E41EDBA5D8B06885ABA052  ,EUR          ,"2,646.53","2,223.97",422.56,N               ,P             
300000155,74867AD200E41EDBA5D8B06885AFA052  ,EUR          ,"3,527.05","2,963.90",563.15,N               ,P             
300000156,74867AD200E41EDBA5D8B06885ABC052  ,EUR          ,"3,546.16","2,979.97",566.19,N               ,P             
300000157,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,"6,539.05","5,495.00","1,044.05",N               ,P             
300000158,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,"3,340.33","2,807.00",533.33,N               ,P             
300000159,74867AD200E41EDBA5D8B06885ACC052  ,EUR          ,"3,680.19","3,092.60",587.59,N               ,P             
300000160,74867AD200E41EDBA5D8B06885AEA052  ,EUR          ,"8,745.31","7,349.00","1,396.31",N               ,P             
300000161,74867AD200E41EDBA5D8B06885B00052  ,EUR          ,828.24,696,132.24,N               ,P             
300000162,74867AD200E41EDBA5D8B06885AF6052  ,EUR          ,584.29,491,93.29,N               ,P             
300000163,74867AD200E41EDBA5D8B06885AFE052  ,EUR          ,"1,765.88","1,483.93",281.95,N               ,P             
300000164,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,"8,246.32","6,929.68","1,316.64",N               ,P             
300000165,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,"2,992.86","2,515.00",477.86,N               ,P             
300000166,74867AD200E41EDBA5D8B06885AFA052  ,EUR          ,"1,520.46","1,277.70",242.76,N               ,P             
300000167,74867AD200E41EDBA5D8B06885AFA052  ,EUR          ,808.84,679.7,129.14,N               ,P             
300000168,74867AD200E41EDBA5D8B06885AD8052  ,EUR          ,"2,203.88","1,852.00",351.88,N               ,P             
300000169,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"7,187.60","6,040.00","1,147.60",N               ,P             
300000170,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"3,001.18","2,522.00",479.18,N               ,P             
300000171,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"3,090.42","2,596.99",493.43,N               ,P             
300000172,74867AD200E41EDBA5D8B06885AEE052  ,EUR          ,"3,919.86","3,294.00",625.86,N               ,P             
300000173,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,"1,397.06","1,174.00",223.06,N               ,P             
300000174,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,"20,566.77","17,283.00","3,283.77",N               ,P             
300000175,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"36,505.63","30,677.00","5,828.63",N               ,P             
300000176,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"11,252.64","9,456.00","1,796.64",N               ,P             
300000177,74867AD200E41EDBA5D8B06885ABC052  ,EUR          ,"11,666.69","9,803.94","1,862.75",N               ,P             
300000178,74867AD200E41EDBA5D8B06885AB6052  ,EUR          ,"7,936.89","6,669.66","1,267.23",N               ,P             
300000179,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,"1,651.72","1,388.00",263.72,N               ,P             
300000180,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,"13,132.36","11,035.60","2,096.76",N               ,P             
300000181,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,"8,171.61","6,866.90","1,304.71",N               ,P             
300000182,74867AD200E41EDBA5D8B06885AC2052  ,EUR          ,"8,641.78","7,262.00","1,379.78",N               ,P             
300000183,74867AD200E41EDBA5D8B06885ADE052  ,EUR          ,"15,404.55","12,945.00","2,459.55",N               ,P             
300000184,74867AD200E41EDBA5D8B06885AEA052  ,EUR          ,"2,767.94","2,326.00",441.94,N               ,P             
300000185,74867AD200E41EDBA5D8B06885AEA052  ,EUR          ,"8,745.31","7,349.00","1,396.31",N               ,P             
300000186,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"5,363.33","4,507.00",856.33,N               ,P             
300000187,74867AD200E41EDBA5D8B06885ABA052  ,EUR          ,"6,375.94","5,357.93","1,018.01",N               ,P             
300000188,74867AD200E41EDBA5D8B06885AC2052  ,EUR          ,"5,413.31","4,549.00",864.31,N               ,P             
300000189,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,"3,283.21","2,759.00",524.21,N               ,P             
300000190,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,"16,463.09","13,834.53","2,628.56",N               ,P             
300000191,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,"4,456.55","3,745.00",711.55,N               ,P             
300000192,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,"2,069.17","1,738.80",330.37,N               ,P             
300000193,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,"2,308.48","1,939.90",368.58,N               ,P             
300000194,74867AD200E41EDBA5D8B06885ACE052  ,EUR          ,"6,262.97","5,263.00",999.97,N               ,P             
300000195,74867AD200E41EDBA5D8B06885AFA052  ,EUR          ,"3,980.08","3,344.60",635.48,N               ,P             
300000196,74867AD200E41EDBA5D8B06885AC8052  ,EUR          ,"2,457.23","2,064.90",392.33,N               ,P             
300000197,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,"1,535.10","1,290.00",245.1,N               ,P             
300000198,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,"9,599.61","8,066.90","1,532.71",N               ,P             
300000199,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,"22,350.58","18,782.00","3,568.58",N               ,P             
300000200,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,"53,414.34","44,886.00","8,528.34",N               ,P             
300000201,74867AD200E41EDBA5D8B06885AB6052  ,EUR          ,"12,208.56","10,259.30","1,949.26",N               ,P             
300000202,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"10,491.04","8,816.00","1,675.04",N               ,P             
300000203,74867AD200E41EDBA5D8B06885AF4052  ,EUR          ,470,394.96,75.04,N               ,P             
300000204,74867AD200E41EDBA5D8B06885AC8052  ,EUR          ,"2,755.56","2,315.60",439.96,N               ,P             
300000205,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,"13,132.36","11,035.60","2,096.76",N               ,P             
300000206,74867AD200E41EDBA5D8B06885AB2052  ,EUR          ,"2,904.79","2,441.00",463.79,N               ,P             
300000207,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,"2,354.54","1,978.60",375.94,N               ,P             
300000208,74867AD200E41EDBA5D8B06885ABA052  ,EUR          ,"4,347.01","3,652.95",694.06,N               ,P             
300000209,74867AD200E41EDBA5D8B06885AD8052  ,EUR          ,947.24,796,151.24,N               ,P             
300000210,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"27,504.47","23,113.00","4,391.47",N               ,P             
300000211,74867AD200E41EDBA5D8B06885AF6052  ,EUR          ,252.28,212,40.28,N               ,P             
300000212,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,"108,157.91","90,889.00","17,268.91",N               ,P             
300000213,74867AD200E41EDBA5D8B06885ADE052  ,EUR          ,"19,452.93","16,347.00","3,105.93",N               ,P             
300000214,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"5,822.67","4,893.00",929.67,N               ,P             
300000215,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"13,876.59","11,661.00","2,215.59",N               ,P             
300000216,74867AD200E41EDBA5D8B06885AE4052  ,EUR          ,"60,698.33","51,007.00","9,691.33",N               ,P             
300000217,74867AD200E41EDBA5D8B06885AD8052  ,EUR          ,854.42,718,136.42,N               ,P             
300000218,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,"3,051.16","2,564.00",487.16,N               ,P             
300000219,74867AD200E41EDBA5D8B06885ACC052  ,EUR          ,"7,360.39","6,185.20","1,175.19",N               ,P             
300000220,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"9,292.66","7,808.95","1,483.71",N               ,P             
300000221,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,"5,015.85","4,215.00",800.85,N               ,P             
300000222,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,"3,523.59","2,961.00",562.59,N               ,P             
300000223,74867AD200E41EDBA5D8B06885AB6052  ,EUR          ,"9,698.13","8,149.69","1,548.44",N               ,P             
300000224,74867AD200E41EDBA5D8B06885ABA052  ,EUR          ,"6,117.69","5,140.92",976.77,N               ,P             
300000225,74867AD200E41EDBA5D8B06885B00052  ,EUR          ,"2,277.66","1,914.00",363.66,N               ,P             
300000226,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,"20,253.80","17,020.00","3,233.80",N               ,P             
300000227,74867AD200E41EDBA5D8B06885ADA052  ,EUR          ,"7,575.54","6,366.00","1,209.54",N               ,P             
300000228,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"4,715.92","3,962.96",752.96,N               ,P             
300000229,74867AD200E41EDBA5D8B06885AD2052  ,EUR          ,"7,848.05","6,595.00","1,253.05",N               ,P             
300000230,74867AD200E41EDBA5D8B06885AF6052  ,EUR          ,487.9,410,77.9,N               ,P             
300000231,74867AD200E41EDBA5D8B06885AD8052  ,EUR          ,"1,351.84","1,136.00",215.84,N               ,P             
300000232,74867AD200E41EDBA5D8B06885AEE052  ,EUR          ,"8,554.91","7,189.00","1,365.91",N               ,P             
300000233,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,"5,682.25","4,775.00",907.25,N               ,P             
300000234,74867AD200E41EDBA5D8B06885ADA052  ,EUR          ,"3,769.92","3,168.00",601.92,N               ,P             
300000235,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,"2,589.45","2,176.00",413.45,N               ,P             
300000236,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,"54,034.33","45,407.00","8,627.33",N               ,P             
